record_id,title,content,publication_date
461,instruksi gubernur jateng tentang penilangan  bagi yg tidak bermasker di muka umum rp.150.000 menggunakan e-tilang via apps pikobar,yth.seluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid 19 jateng sbb:,17-jul-20
495,foto jim rohn: jokowi adalah presiden terbaik dlm sejarah bangsa indonesia,"jokowi adalah presiden terbaik dlm sejarah bangsa indonesia. jim rohn, motivator terbaik dunia",13-jul-20
550,"ini bukan politik, tapi kenyataan pak jokowi berhasil memulangkan 11,000 triliun uang negara dari swiss.","maaf mas2 dan mbak2, ini bukan politik, tapi kenyataan pak jokowi berhasil memulangkan 11,000 triliun uang negara dari swiss. 11ribu triliun siap di bawa balik ke indonesia.ruu treaty on mutual legal assistance in criminal matters between the republic of indonesia and the swiss confederation (mla ri-swiss) resmi disahkan dpr ri tanggal 3 juli 2020. dengan demikian proses konstitusi menarik dana di swiss sudah selesai. perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke indonesia. tanpa anda nyinyir, rasanya sulit ruu itu bisa disahkan oleh dpr. pemilik 84 rekening gendut siap siap gigit jari . mungkin tekanan ke pak jokowi makin kencang. ini baca beritanya",8-jul-20
681,foto kadrun kalo lihat foto ini panas dingin,kadrun kalo lihat foto ini panas dingin . .,24-jun-20
736,event promo smartphone jne 2020 spesial di bulan juni,"selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone jne 2020 spesial di bulan juni ini dan saya mesan smartphone vivo v15 pro cuman seharga rp.900.000-,gak nyangka cuma seharga rp.900.000 aku bisa mendapat hp vivo v15 pro 😍,bagi teman teman fb ku yg penasaran atau mau ikutan inbox aja wa adminnya 0823-7142-9***",17-jun-20
1161,mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini!,lihatlah mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini!,5-may-20
1597,foto presiden italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,24-mar-20
2098,"kapolres timor tengah utara , nusa tenggara timur  beri klarifikasi terkait video polisi diamkan korban kecelakaan",polisi goblok. bukanya cpet” d tolongin malah d liati aja,9-jan-20
2226,video polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,"polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan dan ham diam seribu bahasa … seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",24-dec-19
2588,"akhirnya, jokowi bersedia mengundurkan diri","akhirnya, jokowi bersedia mengundurkan diri.
 gue harus siap2 nih",13-oct-19
2875,info jalur rawan begal dan himbauan untuk tidak keluar malam oleh kapolres cianjur,"begal sudah mulai merambat ke wilayah cianjur…!!!
 wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari…
 01. jalur gekbrong arah sukabmi…
 02. cibeber dari arah campaka sampe
 cilaku.",26-aug-19
2987,dirut pt agung podomoro land cosmas batubara meninggal dunia,"turut berduka cita atas
 meninggalnya pejuang angkatan 66 bapak cosmas batubara hari sabtu 27 juli 2019 pukul 15.00 wib. semoga yang maha kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi nya.. aamiin.",29-jul-19
3571,sby sudah telepon moeldoko suruh jokowi akui kekalahan,"bantu sebar ya
pak sby sudah telpon moeldoko, suruh jkw akui kekalahan. ini info dari seorang jenderal… jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
info valid",20-apr-19
3862,foto anak rohingya disiksa komunis,relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika komunis berkuasa…???,2-mar-19
4081,orang cina punya ktp cilacap atas nama karsono,"ini kejadian di pln pltu cilacap bunton adipala, orang cina tidak bisa berbahasa indonesia apalagi bahasa jawa banyumasan tp punya ktp cilacap atas nama karsono, payah kie camat dan bupatine
kalau bener2 terjadi…😭😭😭",25-jan-19
5836,fadli zon : semua warga indonesia yang tidak pilih prabowo di pilpres 2019 akan kami usir dari indonesia,fadlizon: semua warga indonesia yg tdk pilih prabowo di pilpres 2019 akan km usir dr indonesia. serius ini si zonk?! https://t.co/jvjxc0jhmp,14-apr-18
5994,pesan berantai undian berhadiah dari kementerian tenaga kerja untuk pekerja migran indonesia  di hongkong,"informasi resmi dari depnaker republik indonesia !!!!!
 selamat anda terpilih mendapatkan penghargaan sebesar nt $. 350.000 dari departemen ketenaga kerjaan indonesia. sebagai pahlawan devisa negara terbaik tahun 2017-2018. kode registrasi twn37589
 hubungi call office:
 +62853-9313-1245
 a/n haryono
 atau kunjungi alamat website:
 www.depnaker.yolasite.com
 1. bagi anda penerimah pemberitahuan ini melalui telephone atau sms whatsapp. berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. penghargaan depnaker bebas biaya dan telah mendapat sertifikat bebas pajak dari pemerintah republik indonesia.
 3. pengurusan penghargaan telah mendapat pengawasan dari kepolisian negara republik indonesia dumaksudkan untuk menghindari hal-hal negatif.
 peringatan:
 hati hati penipuan bila dalam pengurusan anda dimintai biaya, dari oknum oknum yang tidak bertanggunh jawab. tanpa sepengetahuan dari pihak depnaker ri.
 pengirim:
 depnaker ri.
 73538373777",14-mar-18
6503,indonesia di penuhi pki,hahhahhahahhaha indonesia di penuhi pki …gimanah nih pa kowi…..,11-dec-17
6775,sandi sarankan warga ngadu ke kelurahan saja,astaga! sandiaga sarankan warga ngadu ke kelurahan saja tak perlu ke balai kota ,25-oct-17
6836,demo dan konflik antara ojek online dengan angkutan umum di bandung,"prediksi besok bandung kota. besok di sinyalir ada dua kubu besar 1.demo lg besar”an 2.ojek online gabungan mau kumpul minta tggung jawab ke kubu angkot gabungan, soalnya di jl.bkr grab ojek di tabrak sngaja sampe mati, di buah batu grab mati jg di tabrak angkot, di karapitan grab jg di gebukin angkot, ada jg ojek online yg hilang ga ada kabar.....",12-oct-17
7038,"irina, istri ahli it hermansyah disebut mantan psk","irina, istri ahli it hermansyah disebut mantan psk",13-jul-17
7214,"nezar patria adalah kader pki, ikut rapat setiap malam di istana setelah jam 8 malam, demikian tuduhan dari alfian tandjung","nezar patria adalah kader pki, ikut rapat setiap malam di istana setelah jam 8 malam, demikian tuduhan dari alfian tandjung",8-mar-17
7914,: hati -hati panggilan telpon nomor tidak dikenal !!,hati -hati panggilan telpon nomor tidak dikenal !!,13-jul-16
8176,larangan anti-miras di minimarket ditiadakan oleh rezim jokowi paska gobel,"pada 16 april lalu, menteri perdagangan rachmat gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh indonesia. namun, larangan yang tertuang dalam peraturan menteri perdagangan (permendag) nomor 06/m-dag/per/1/2015 tentang pengendalian dan pengawasan terhadap pengadaan, peredaran, dan penjualan minuman beralkohol itu kini akan diubah.",15-sep-15
8330,corona adalah hoaks,corona is a hoax,11-aug-20
8508,kapal kargo pengangkut kadrun tenggelam di laut china selatan,"kapal kargo dari indonesia tujuan ke china dilaporkan tenggelam di laut china selatan pada sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung kapal. kapal tersebut mengangkut kadrun tujuan china dengan tujuan sebagai objek percobaan vaksin covid-19, dimana harga monyet di china sangat mahal sementara harga kadrun bisa 10 kali lebih murah dari harga monyet. sampai saat ini masih dalam penyelidikan otoritas tiongkok mengenai sebab kecelakaan fatal tersebut.",28-jul-20
8624,foto gubernur anies sedang makan dengan sekumpulan orang jawa tulen,"terlihat sekumpulan orang jawa tulen yang sedang menyantap kuliner khas jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar.. percakapan dari mereka pun memakai bahasa jawa halus alias kromo inggil pula..seperti, ana, akhi, antum, afwan, dan lain lain.. hmmm, sungguh mengagumkan sekali bukan? nb : seng wani protes pki.. opo kowe bong? ,",20-jul-20
8636,mulan jameela undur diri dari dpr ri,nah mundur lebih terhormat daripada di pecat !! hayo yang lain monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya ..!!!,19-jul-20
8873,"video fkppi dari bandung sudah berkumpul di monas, siap siaga apabila ruu hip di-syahkan oleh dpr","*fkppi dari bandung sudah berkumpul di monas, siap siaga segala kemungkinan terjadi apabila ruu hip di-syahkan oleh dpr.* *revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman komunisme..!*”",24-jun-20
8983,30 pembantu baru positif corona di penjaringan,pembantu yang baru datang 30 orang di tes semuanya positif corona,11-jun-20
9226,foto sudjiatmi disiksa di alam barzakh,"sudjiatmi disiksa di alam barzakh hj. sudjiatmi ( ibu presiden jokowi) tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. tanpa ampunan. disaat tgl. 25 april 2020 bulan lalu jenazah h. sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. beliau ternyata presiden joko widodo.",14-may-20
9299,berdamai dengan corona yang dimaksud jokowi adalah pemerintah telah kalah dan menyerah,"astaghfirullah, kemarin “bersama kita lawan virus corona” sekarang “ayo kita berdamai dngn virus corona” artinya pemerintah telah kalah dan mengibarkan bendera putih tanda menyerah.”",9-may-20
9522,penerima stiker pada pesan whatsapp dikenakan sejumlah biaya,"tahukah teman2 ku di group ini… kenapa menggunakan stiker, menguntungkan pembuat nya,, setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima rp.250,-.",20-apr-20
9963,foto  mahfud md mengaku mirip ashraf ingin nikahi bcl,mengaku mirip ashraf pria ini ingin nikahi bcl,12-mar-20
10015,"telah diculik umur anak 5 bulan, kejadian d angkot lebak bulus parung ibunda si bayi dihipnotis","telah diculik keponakan dari ibu yulianah
 umur anak 5 bulan
 jenis kelamin perempuan
 kejadian d angkot lebak bulus parung
 ibunda si bayi dihipnotis d angkot, diturunkan di pondok cabe oleh pelaku.penculikan
 kejadian hari sabtu 29feb 2020 sekitar jam 16.00",1-mar-20
10122,virus corona sudah sampai di apartemen taman anggrek,"dapet info dari client, virus corona udah sampe sini. di apartement ta udah ada org wuhan yg kena tp management tutup2i. supaya mall bs beroperasi dan mrk ga rugi. barusan bgt dpt info dr client saya yg suaminya org cina, mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement ta dan sekitarnya",12-feb-20
10150,presiden cina xi jinping mengunjungi masjid dan meminta umat islam berdoa untuk negeri yang sedang dilanda krisis,presiden cina xi jinping mengunjungi masjid dan meminta umat islam untuk berdoa di negara yang sedang dilanda krisis ini. kami membutuhkan bantuan anda.,6-feb-20
10288,pesan berantai biaya tilang baru,"biaya tilang terbaru di indonesia: kapolri baru mantap
 
 1. tidak ada stnk
 
 rp. 50,000
 
 2. tdk bawa sim
 
 rp. 25,000
 
 3. tdk pakai helm
 
 rp. 25,000",10-jan-20
10377,video jokowi mulai pucat sby ungkap pelaku korupsi,‘jokowi mulai puc4t’ sby ungk4p p3l4ku k0rup51 jiwasraya diduga orang belakang jokow1 (heboh),30-dec-19
10439,all jakarta water park,perkenalkan: all jakarta water park,20-dec-19
10542,pergantian kartu keluarga warga dki jakarta,"dinas dukcapil jakarta tidak mewajibkan warga jakarta mengganti kk lamanya dengan tenggat waktu. imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga.",3-dec-19
10580,usus ibunya dimakan oleh bayi ini,"bayi ini 11 bln dlm perut ibunya.
 habis usus ibunya dimakan oleh bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan bayi ini… ketika bayi ini keluar, dia gigit tangan perawat… setelah 3 jam si perawat meninggal, ibu bayi ini pun meninggal setelah bayi ini keluar… bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kg… bayi ini lahir hari jumat, tidak tahu allah ingin kasi peringatan apa untuk kita semua… bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini mati… ini kisah benar-benar terjadi di india… wallahu a’lam",27-nov-19
10772,foto awan mengerikan di jepang,"ngeri si, semoga tmn2 yg ada disana selamat amin yrb #prayforjapan",15-oct-19
10927,narasi presiden korea utara menghukum pejabatnya yang korupsi,"presiden korea utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 caranya ?
 berrjalan bergandengan tangan lalu…
 plung ! dibawahnya kandang buaya……!!! luaaaar biasaaa…!!!",19-sep-19
10963,almarhum habibie di formasi jas merah mob umm,"adapun formasi tersebut adalah merah-putih, kh ahmad dahlan, logo umm, students today, leaders tomorrow, peta indonesia, dan pray for lombok.",14-sep-19
11139,petugas tewas tersetrum ketika melakukan perbaikan listrik,kecamatan pedurungan,9-aug-19
11725,tv luar negeri sudah memberitakan prabowo the next presiden,tv luar negeri sudah memberitakan prabowo the next presiden,23-apr-19
